question,answer,generated similar question
车祸小脑出血昏迷了5天怎么办,及时报警，有交警出具交通事故认定书，根据责任的划分和实际损害情况协商索赔，协商不成的可以诉讼处理。,1. 车祸后小脑出血昏迷了5天，接下来该怎么办？ 2. 小脑出血导致昏迷5天，如何处理后续的治疗？ 3. 车祸导致的小脑出血昏迷5天，恢复过程需要注意什么？ 4. 如果小脑出血昏迷了5天，应该采取哪些紧急措施？ 5. 小脑出血昏迷5天后的康复方案是什么？ 6. 车祸后昏迷5天，小脑出血是否会影响长期健康？ 7. 小脑出血导致昏迷5天，接下来如何进行治疗？ 8. 小脑出血昏迷了5天，治疗后的恢复期要如何护理？ 9. 车祸小脑出血昏迷5天，是否需要做进一步检查？ 10. 小脑出血昏迷5天后，患者能否完全恢复？ 11. 车祸后小脑出血昏迷5天，是否需要手术治疗？ 12. 昏迷5天后小脑出血患者的康复期要注意什么？ 13. 小脑出血昏迷5天，如何评估病情的严重程度？ 14. 车祸小脑出血昏迷5天，家属应该做些什么？ 15. 昏迷5天的患者小脑出血，如何进行后期护理？ 16. 小脑出血昏迷5天后，病人应该做哪些复查？ 17. 小脑出血导致昏迷5天后，治疗的关键步骤是什么？ 18. 车祸后昏迷5天，小脑出血患者如何才能恢复正常生活？ 19. 小脑出血昏迷5天，康复过程中需要特别注意哪些事项？ 20. 车祸后小脑出血昏迷5天，能否避免后遗症？
哪些情况可以先行刑事拘留,有下列情形之一的，可以先行拘留：(一)正在预备犯罪、实行犯罪或者在犯罪后即时被发觉的;(二)被害人或者在场亲眼看见的人指认他犯罪的;(三)在身边或者住处发现有犯罪证据的;(四)犯罪后企图自杀、逃跑或者在逃的;(五)有毁灭、伪造证据或者串供可能的;(六)不讲真实姓名、住址，身份不明的;(七)有流窜作案、多次作案、结伙作案重大嫌疑的。公安机关拘留人的时候，必须出示拘留证。,1. 在哪些情况下可以对嫌疑人进行刑事拘留？ 2. 什么情况下可以先行拘留犯罪嫌疑人？ 3. 哪些情形下，公安机关可以决定刑事拘留？ 4. 什么时候可以对涉嫌犯罪的人采取刑事拘留措施？ 5. 哪些情况下可以依法实施刑事拘留？ 6. 刑事拘留的适用条件有哪些？ 7. 在什么情况下，可以对犯罪嫌疑人进行刑事拘留？ 8. 什么时候刑事拘留是合法的？ 9. 对嫌疑人进行刑事拘留的条件有哪些？ 10. 哪些行为会导致犯罪嫌疑人被刑事拘留？ 11. 刑事拘留是否有具体的法定条件？ 12. 哪些情形下可以对嫌疑人采取拘留措施？ 13. 在哪些情况下，法律允许进行刑事拘留？ 14. 刑事拘留的适用范围是什么？ 15. 在什么情况下可以对嫌疑人实施拘留？ 16. 刑事拘留的适用场合是什么？ 17. 什么情况符合刑事拘留的条件？ 18. 对嫌疑人进行刑事拘留的依据有哪些？ 19. 什么时候可以依法实施拘留？ 20. 什么条件下，公安机关可以执行刑事拘留？
在工地上面出了安全事故怎么来维护自己的权,申请工伤认定鉴定后根据责任和赔偿标准主张赔偿。,1. 在工地上发生安全事故时，如何保护自己的合法权益？ 2. 如果在工地上发生事故，我应该如何维护我的权益？ 3. 工地安全事故发生后，如何确保我能得到应有的赔偿？ 4. 在工地安全事故中，怎样维护自己的工伤赔偿权利？ 5. 工地发生事故后，我该如何追究责任并保障自己的权益？ 6. 遇到工地安全事故时，如何收集证据以维护我的利益？ 7. 工地发生意外事故后，如何有效维权？ 8. 安全事故发生后，我该如何保证自己不受不公平对待？ 9. 如果在工地发生事故，我该如何向雇主或承包商索赔？ 10. 工地安全事故后，如何利用法律手段维护自己的合法权益？ 11. 我在工地上发生安全事故后，如何向相关部门报案并维权？ 12. 如果工地发生了安全事故，我如何确保自己获得公平的事故赔偿？ 13. 发生工地安全事故时，我可以通过哪些途径维护自己的权利？ 14. 在工地上出现安全事故时，如何防止自己被忽视或不公正对待？ 15. 遇到工地安全事故时，如何确保自己的工作权益不受损害？ 16. 工地发生安全事故，我该如何向劳动部门投诉并维护我的权益？ 17. 发生工地事故后，如何通过法律途径保护自己不受侵害？ 18. 如果在工地上遇到安全事故，我应当如何应对以保证自己的利益？ 19. 工地发生事故时，我应该如何向工会寻求帮助以保障自己的权益？ 20. 遇到工地安全事故，我如何确保自己在赔偿问题上不吃亏？
申请和受理劳动争议调解仲裁时间上有什么限制,劳动争议申请仲裁的时效期间为一年。仲裁时效期间从当事人知道或者应当知道其权利被侵害之日起计算。,1. 劳动争议调解和仲裁的申请时间有何限制？ 2. 申请劳动争议调解和仲裁是否有时间限制？ 3. 劳动争议的调解和仲裁申请时间有规定吗？ 4. 提起劳动争议调解和仲裁的时效期是多久？ 5. 劳动争议申请调解和仲裁的时间限制是多少？ 6. 劳动争议的调解和仲裁需要在多长时间内提出？ 7. 申请劳动争议调解和仲裁是否必须在一定时间内进行？ 8. 劳动争议调解与仲裁的受理期限有哪些？ 9. 提交劳动争议调解和仲裁的时间是否有规定？ 10. 劳动争议申请调解和仲裁有时间限制吗？ 11. 劳动争议调解和仲裁的时间限制是如何规定的？ 12. 劳动争议调解仲裁的申请有最晚申请时间吗？ 13. 劳动争议调解和仲裁的时效期具体是怎样的？ 14. 在劳动争议发生后，调解和仲裁申请的时间限制是多久？ 15. 劳动争议调解和仲裁申请必须在多长时间内完成？ 16. 劳动争议调解与仲裁的申请是否受时间限制？ 17. 劳动争议仲裁和调解的申请是否有明确的时间框架？ 18. 劳动争议申请调解与仲裁的时间有什么规定？ 19. 提起劳动争议仲裁和调解时是否有时间要求？ 20. 劳动争议的调解和仲裁申请是否有最迟申请日期？
商标注册有什么相对禁止的条件,首先，第九条申请注册的商标，应当有显著特征，便于识别，并不得与他人在先取得的合法权利相冲突。其次，第十条下列标志不得作为商标使用：（1）同**人*共**的*家名称、*旗、*徽、军旗、勋章相同或者近似的，以及同*央*家*关*在地特定地点的名称或者标志性建筑物的名称、图形相同的；（2）同外*的*家名称、*旗、*徽、军旗相同或者近似的，但该*政府同意的除外；（3）同政府间*际组织的名称、旗帜、徽记相同或者近似的，但经该组织同意或者不易误导公众的除外；（4）与表明实施控制、予以保证的官方标志、检验印记相同或者近似的，但经授权的除外；（5）同“红十字”、“红新月”的名称、标志相同或者近似的；（6）带有*族歧视性的；（7）夸大宣传并带有欺骗性的；（8）有害于社会主义道德风尚或者有其他不良影响的；（9）地理标记：商标使用地理标记，而又非来自于该地区的违法。县级以上行政区划的地名或者公众知晓的外*地名，不得作为商标。1、地名具有其他含义或者作为集体商标；2、证明商标组成部分的除外；3、已经注册的使用地名的商标继续有效。再次，商标法规定（11条）下列标志不得作为商标注册：（1）仅有本商品的通用名称、图形、型号的；（2）仅仅直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点的；（3）缺乏显著特征的。前款*列标志经过使用取得显著特征，并便于识别的，可以作为商标注册。再次，商标法规定（12条）以三维标志申请注册商标的，仅由商品自身的性质产生的形状、为获得技术效果而需有的商品形状或者使商品具有实质性价值的形状，不得注册.最后，商标法规定（13条）就相同或者类似商品申请注册的商标是复制、摹仿或者翻译他人未在**注册的驰名商标，容易导致混淆的，不予注册并禁止使用。就不相同或者不相类似商品申请注册的商标是复制、摹仿或者翻译他人已经在**注册的驰名商标，误导公众，致使该驰名商标注册人的利益可能受到损害的，不予注册并禁止使用。,1. 商标注册时有哪些禁忌条件需要注意？ 2. 在注册商标时，有哪些情况是禁止的？ 3. 商标注册过程中有哪些不能使用的标志？ 4. 什么情况下商标不能被注册？ 5. 注册商标时有哪些不符合要求的条件？ 6. 哪些因素会导致商标注册被拒绝？ 7. 注册商标有哪些禁止使用的元素？ 8. 在申请商标时，哪些条件会使其无法通过？ 9. 商标注册中有哪些限制和禁止的规定？ 10. 什么情况下商标申请会被拒绝？ 11. 注册商标时，哪些标志是不能使用的？ 12. 商标注册有哪些法律禁止的条件？ 13. 商标申请中有哪些要避免的因素？ 14. 在商标申请过程中，有哪些规定禁止使用特定元素？ 15. 哪些情况商标会因违反规定而无法注册？ 16. 商标注册申请中存在哪些被禁止的条件？ 17. 什么情况会导致商标注册不成功？ 18. 商标注册时需要避免哪些禁止条件？ 19. 在商标申请时，哪些因素会导致其无法通过审查？ 20. 商标注册过程中哪些因素会被视为禁止的条件？
取保侯审期间酒后驾车交警抓住怎么处理？,被取保候审的犯罪嫌疑人、被告人违反前款规定，已交纳保证金的，没收保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人或者监视居住、予以逮捕。犯罪嫌疑人、被告人在取保候审期间未违反前款规定的，取保候审结束的时候，应当退还保证金。,1. 在取保候审期间酒驾被交警抓住怎么办？ 2. 如果在取保候审期间因酒驾被交警查处，如何处理？ 3. 取保候审期间酒后驾驶被抓会有什么后果？ 4. 取保候审期间酒后开车被交警逮住了怎么办？ 5. 在取保候审期间酒后驾驶被交警发现，应该怎么处理？ 6. 取保候审期间酒驾被抓，处理流程是什么？ 7. 取保候审期间酒后驾车被交警查处会有什么影响？ 8. 取保候审期间酒驾如何应对交警的处罚？ 9. 取保候审期间因酒驾被抓，应如何应对法律责任？ 10. 取保候审期间发生酒驾被交警抓到，会面临哪些法律问题？ 11. 取保候审期间酒后驾驶，警方会如何处罚？ 12. 如果在取保候审期间酒驾被交警拦下，怎么办？ 13. 取保候审期间酒后开车被查到如何处理？ 14. 取保候审期间酒驾会对案件有影响吗？ 15. 取保候审期间被交警查到酒驾，怎么处理才最好？ 16. 如果在取保候审期间酒后驾车被抓，会不会加重处罚？ 17. 取保候审期间酒驾是否会影响取保候审的状态？ 18. 取保候审期间酒后驾车被交警抓到的后果是什么？ 19. 取保候审期间酒驾被查处，会对案件产生什么影响？ 20. 取保候审期间酒驾被交警发现，应该如何应对法律责任？
公司破产孕妇怎么赔偿,按在本单位工作年限，每工作满一年补偿一个月工资就合法，能否有其他补偿，自己和单位协商《劳动合同法》第四十二条劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：（四）女职工在孕期、产期、哺乳期的；第四十四条有下列情形之一的，劳动合同终止：（一）劳动合同期满的；（二）劳动者开始依法享受基本养老保险待遇的；（三）劳动者死亡，或者被人民法院宣告死亡或者宣告失踪的；（四）用人单位被依法宣告破产的；（五）用人单位被吊销营业执照、责令关闭、撤销或者用人单位决定提前解散的；（六）法律、行政法规规定的其他情形。第四十六条有下列情形之一的，用人单位应当向劳动者支付经济补偿：（一）劳动者依照本法第三十八条规定解除劳动合同的；（二）用人单位依照本法第三十六条规定向劳动者提出解除劳动合同并与劳动者协商一致解除劳动合同的；（三）用人单位依照本法第四十条规定解除劳动合同的；（四）用人单位依照本法第四十一条第一款规定解除劳动合同的；（五）除用人单位维持或者提高劳动合同约定条件续订劳动合同，劳动者不同意续订的情形外，依照本法第四十四条第一项规定终止固定期限劳动合同的；（六）依照本法第四十四条第四项、第五项规定终止劳动合同的；（七）法律、行政法规规定的其他情形。第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,1. 孕妇遇到公司破产后如何获得赔偿？ 2. 公司破产时孕妇能获得哪些赔偿？ 3. 孕妇在公司破产时应该如何保障自己的权益？ 4. 公司破产情况下，孕妇能享有哪些赔偿福利？ 5. 孕妇在公司倒闭后能得到什么样的经济补偿？ 6. 如果公司破产，孕妇的赔偿问题该如何解决？ 7. 孕妇在公司破产时能申请哪些形式的赔偿？ 8. 公司破产对孕妇的赔偿权益如何保障？ 9. 孕妇在公司破产后的赔偿程序是怎样的？ 10. 公司破产时孕妇有哪些合法的赔偿要求？ 11. 孕妇在公司破产时是否有特殊的赔偿规定？ 12. 如果公司破产，孕妇该如何主张赔偿？ 13. 孕妇在公司破产后能否要求特殊赔偿？ 14. 公司破产孕妇可以通过哪些途径获得赔偿？ 15. 孕妇在公司破产后应该如何维权获得赔偿？ 16. 公司破产时，孕妇能否依法要求赔偿？ 17. 孕妇遭遇公司破产，能向哪些部门申请赔偿？ 18. 公司破产的情况下，孕妇的赔偿款项怎么分配？ 19. 孕妇在公司破产后，有没有可能得到额外的赔偿？ 20. 如果公司破产，孕妇能获得哪些补偿金或福利？
委托专业律师草拟购房合同多少费用,可以当面与律师协商。,1. 请问委托专业律师草拟购房合同的费用是多少？ 2. 请问一般来说，委托律师起草购房合同需要支付多少费用？ 3. 律师帮助起草购房合同的费用大概是多少？ 4. 需要多少费用才能请律师帮忙起草一份购房合同？ 5. 请问在购房时，律师代为拟定合同的收费标准是什么？ 6. 找律师帮忙起草购房合同需要多少费用？ 7. 请问聘请律师为购房起草合同需要付多少钱？ 8. 草拟购房合同的律师收费大概是多少？ 9. 委托专业律师编写购房合同一般需要多少钱？ 10. 请问请律师拟定购房合同的费用是如何计算的？ 11. 起草购房合同时，律师服务的费用大概是多少？ 12. 请问律师草拟购房合同的费用标准是怎样的？ 13. 一般情况下，聘请律师为购房起草合同需要多少费用？ 14. 购房合同由律师起草的费用通常是多少？ 15. 律师起草购房合同的费用一般是多少？ 16. 如果请律师帮忙草拟购房合同，费用大概是多少？ 17. 请律师起草购房合同的费用一般是多少，能否提供具体的收费标准？ 18. 委托律师制定购房合同的费用通常是多少？ 19. 购房合同由专业律师草拟，收费是多少？ 20. 请问律师起草购房合同的费用大概在什么范围？
签了购房合同等于取得房屋产权吗,房屋产权转移有个过程。签合同、合同备案只是其中的部分环节，还有其他环节和内容。最终完成产权转移的标志是，购房人拿到了自己名下的房产证。,1. 签署购房合同后，是否就能获得房屋的产权？ 2. 购房合同签订后，房屋产权是否自动归买方所有？ 3. 购房合同签字之后，买家是否已经拥有房产的所有权？ 4. 签了购房合同就代表房屋的产权转移了吗？ 5. 完成购房合同的签署，是否就意味着已取得房产的产权？ 6. 签署购房合同后，是否能够直接拥有该房屋的产权？ 7. 签订购房合同是否等同于获得房屋的所有权？ 8. 购房合同签署之后，产权是否马上转移给买方？ 9. 是否只有签署购房合同就能确认房屋产权归买方所有？ 10. 签约购房后，买方什么时候可以正式获得房屋的产权？ 11. 购房合同签字后，买家是否已经具备房屋产权？ 12. 签署购房合同是否可以直接影响房产的所有权归属？ 13. 购房合同签订后，买方需要做什么才能正式取得产权？ 14. 购房合同签署后，是否需要其他手续才能获得房屋产权？ 15. 签订购房合同后，买方还需要哪些步骤才能获得房屋的产权？ 16. 购房合同签字是否即意味着产权已经归买方？ 17. 完成购房合同后，房屋的产权是如何转移的？ 18. 购房合同签订之后，房屋的产权能立刻转移给买方吗？ 19. 签了购房合同后，买方是否可以立即享有房产的所有权？ 20. 购房合同签订后，什么时候能正式获得房屋的产权证书？
迷信诈骗团伙老板和骨干会被判刑多少年,诈骗公私财物，达到“数额特别巨大”起点或者有“其他特别严重情节”的，可以在十年至十二年有期徒刑幅度内确定量刑起点。依法应当判处无期徒刑的除外。具有下列情形之一的，可以增加相应刑罚量：（1）每增加三万五千元，增加一个月刑期；（2）具有“其他特别严重情节”的，每增加一种情形，增加六个月至二年刑期；（3）其他可以增加刑罚量的情形。《刑法》第二百六十六条【诈骗罪】诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金。,1. 迷信诈骗团伙的头目和骨干会面临多少年刑期？ 2. 参与迷信诈骗的团伙老板和关键成员会被判多少年？ 3. 迷信诈骗组织的领导和骨干成员一般会被判处多少年刑期？ 4. 迷信诈骗团伙的领导和骨干是否会被判刑？如果是，会判多久？ 5. 如果被抓，迷信诈骗团伙的老板和核心成员会被判多少年？ 6. 迷信诈骗集团的主犯和骨干通常会被判多少年监禁？ 7. 参与迷信诈骗的主要负责人和骨干会被判多少年？ 8. 迷信诈骗团伙的关键成员和首脑会被判多少年刑罚？ 9. 迷信诈骗的头目和骨干成员是否会面临长时间的监禁？ 10. 迷信诈骗犯罪团伙的老板和重要成员会判处多少年？ 11. 迷信诈骗案件中的团伙头目和骨干会被判多久？ 12. 参与迷信诈骗的团伙首脑和骨干成员会受什么刑罚？ 13. 迷信诈骗团伙的领导人和骨干通常会面临多久的刑期？ 14. 迷信诈骗犯罪的团伙老板和骨干可能会被判多少年？ 15. 迷信诈骗团伙的主要成员和首领会遭受怎样的刑罚？ 16. 迷信诈骗的团伙老板和骨干成员一般会被判几年监禁？ 17. 迷信诈骗团伙的骨干成员和首脑会被判刑多少年？ 18. 迷信诈骗案件中的团伙领导和核心成员通常会被判多长时间？ 19. 迷信诈骗团伙的领导和骨干成员会被判多少年牢狱之灾？ 20. 迷信诈骗团伙的首脑和骨干会因犯案被判多少年刑期？
婚后买房，婆婆出了一半钱，离婚房怎么分,婚后购买的一般是属于夫妻共同财产的，离婚时均等分割的，婆婆出的一半的钱要看是赠予还是借给你们的。，,1. 婚后买的房子，婆婆出了一半的钱，离婚时这房子怎么分配？ 2. 婚后购房，婆婆资助了一半，离婚时该如何分房？ 3. 如果婚后买房，婆婆出了一部分钱，离婚时房子应该怎么处理？ 4. 婚后买房婆婆帮忙出了一半，离婚时房产怎么分割？ 5. 婚后房子婆婆出了一半的钱，离婚时这房子该归谁？ 6. 婚后购置的房产，婆婆出了一半资金，离婚时怎么分割？ 7. 婚后买房，婆婆参与了资金，离婚时如何划分房产？ 8. 婚后购房，婆婆贡献了一部分资金，离婚时房产怎么分配？ 9. 婚后房产，婆婆出了一半的钱，离婚时该怎样分房？ 10. 婚后购买的房子，婆婆提供了资金支持，离婚时房产如何分配？ 11. 婚后买房，婆婆支付了一半房款，离婚后房产分配应该如何？ 12. 婚后房子婆婆帮忙出了一部分钱，离婚后如何处理房产分割？ 13. 婚后购房，婆婆出了一半钱，离婚时房产该怎么分配？ 14. 婚后买房，婆婆出了一部分资金，离婚时房产怎么处理？ 15. 婚后购置的房子，婆婆出了一半，离婚时房子如何分配？ 16. 婚后买房，婆婆提供了一部分资金，离婚时该如何分割房产？ 17. 婚后房产，婆婆出了一半，离婚时应该如何处理？ 18. 婚后买的房子，婆婆资助了一部分，离婚时房产如何分割？ 19. 婚后买的房子，婆婆出了一半，离婚时应该怎么分割？ 20. 婚后买房，婆婆出了一半资金，离婚时房产如何处理？
你好，我问农村住宅基地申请书怎么写？,就一般申请书格式，因何原因，申请批地基，请求批复。村里一般都会有范本。你只要照下面的表格填进去就可以了。农村私人建房用地申请书乡（镇）村民委员会：兹有本村队村民全家现有在册人口人。现有旧房申报面积，㎡，其中卧室㎡，堂前㎡，厨房㎡。申请理由。申请使用（水田㎡、旱地㎡、园地㎡，晒场㎡、水塘㎡）㎡，使用（荒地㎡、宅基㎡、荒山㎡）㎡、原址拆建㎡，上述合计使用面积㎡、用于建造（住宅㎡、铺房㎡、生产用房㎡）㎡。建房用地的地名，四至：东*西*原有房屋宅基地处理情况（附处理依据）。申请用地范围内的土地原属村队所有。户使用。现经协商已调整给我户使用（附调地协议书）。村委会意见：。驻村干部意见：。申请人：年月日,1. 请问农村住宅基地的申请书应该怎么写？ 2. 农村住宅基地的申请书要注意哪些事项？ 3. 如何撰写农村住宅基地的申请书？ 4. 农村建房基地申请书怎么写才能合规？ 5. 请告诉我农村住宅基地申请书的格式和内容。 6. 申请农村住宅基地时，申请书的写法是什么？ 7. 农村住宅基地申请书的具体写法是怎样的？ 8. 写农村住宅基地申请书时需要提供哪些材料？ 9. 怎样写一份符合要求的农村住宅基地申请书？ 10. 农村建房申请书的写作要点有哪些？ 11. 申请农村住宅基地时，申请书的内容如何安排？ 12. 有哪些注意事项在撰写农村住宅基地申请书时需要考虑？ 13. 农村建房申请书的格式和内容如何规范？ 14. 农村住宅基地申请书需要包括哪些主要信息？ 15. 如何编写农村住宅基地的申请书才能顺利通过？ 16. 写农村住宅基地申请书时，哪些信息必须提供？ 17. 如何撰写申请农村住宅基地的书面材料？ 18. 在写农村住宅基地申请书时，应该遵循哪些规定？ 19. 农村住宅基地申请书的详细写法是什么？ 20. 在申请农村住宅基地时，如何正确书写申请书？
刑事案件，怎么收费，请律师都是有哪些费用,不同的案件，不同的律师，收费是不同的，关键是自己与律师的沟通和衔接。,1. 刑事案件请律师的费用一般是多少？ 2. 刑事案件律师服务费怎么收取？ 3. 请律师处理刑事案件需要支付哪些费用？ 4. 刑事案件律师的收费标准是什么？ 5. 刑事案件的律师费包括哪些项目？ 6. 请律师办理刑事案件的费用一般是多少？ 7. 请律师代理刑事案件有哪些费用项目？ 8. 刑事案件律师收费按什么标准来定？ 9. 请律师打刑事案件的费用会很高吗？ 10. 刑事案件请律师需要多少费用？ 11. 请律师办刑事案件费用计算是怎样的？ 12. 刑事案件请律师的价格是如何确定的？ 13. 刑事案件律师收费的具体情况是怎样的？ 14. 刑事案件的律师费用有标准吗？ 15. 刑事案件律师服务的收费方式有哪些？ 16. 刑事案件律师收费的依据是什么？ 17. 请律师处理刑事案件的费用大概多少？ 18. 刑事案件律师费的计算方式是什么？ 19. 刑事案件律师的费用会根据什么因素变化？ 20. 刑事案件中，请律师的费用包括哪些？
别人欠我工资我到法院起诉都要提供些什么材料,建议先申请劳动仲裁的，。,1. 如果我要起诉别人欠我工资，应该提供哪些材料？ 2. 我到法院起诉欠薪时需要准备什么证据？ 3. 起诉欠我工资的案件，提交法院时需要提供哪些文件？ 4. 要诉讼欠薪问题，我需要准备哪些相关材料？ 5. 在法院起诉别人拖欠工资时，要求提供哪些证据和文件？ 6. 向法院提起欠薪诉讼时，需要提交哪些证明材料？ 7. 如果我起诉别人欠我工资，必须准备哪些资料？ 8. 向法院起诉欠工资，除了诉状外，还需要哪些证据？ 9. 提起工资拖欠诉讼时，我应该提交哪些证明文件？ 10. 起诉别人拖欠工资时，法院要求我提供哪些相关文件？ 11. 如果我要起诉欠我工资的单位，法院需要哪些证据？ 12. 向法院提起欠薪诉讼，应该准备哪些材料和证明？ 13. 在法院起诉拖欠工资时，除了工资单外还需要哪些材料？ 14. 我要提起工资欠款诉讼，除了证据，还需要准备什么文件？ 15. 起诉欠薪时，法院会要求我提供哪些书面资料？ 16. 如果我要通过法律手段追回欠薪，应该准备哪些相关材料？ 17. 起诉欠薪的案件，应该准备哪些证据和文件给法院？ 18. 在起诉别人拖欠工资时，法院会要求提交哪些具体材料？ 19. 提起劳动争议诉讼时，法院要求哪些关于工资的材料？ 20. 要起诉工资拖欠，法院会要求提供哪些证明我工资的文件？
交通事故对方主责我次责车辆修理费怎么算,车辆如果现在还没有修理的话，可以要求对方车辆驾驶人先行垫付你车修理费的七成（对方不肯，可以让交警协调）、要注意了，不管修理场还是4S店最好开具2张发票，一张七成、一张三成。对方缴了七成的修理费，把七成发票给对方，他自己联系自己保险索赔，你的三成发票联系自己保险公司索赔（好点的保险公司可以由保险先垫付）。,1. 交通事故中，如果对方全责，我次责的车辆修理费应该怎么算？ 2. 对方主责，我次责的情况下，修车费用如何分摊？ 3. 交通事故中，双方责任如何影响修车费用的分配？ 4. 对方全责，我次责，修理费由谁支付，怎么计算？ 5. 如果事故责任是对方主责我次责，修车费用如何分担？ 6. 主责在对方，我次责，修车费需要怎么分摊？ 7. 事故中，对方负责主要责任，我次责，修理费怎么计算？ 8. 对方全责，我负次责，修车费用如何处理？ 9. 在事故中责任划分是对方主责，我次责，修车费用该怎么分？ 10. 如果责任在对方和我各半，修理费如何计算？ 11. 对方主责，我次责的情况下，车辆修理费怎么算？ 12. 交通事故双方责任比例不同，修车费如何计算？ 13. 如果事故责任划分为对方主责，我次责，修理费应该如何分配？ 14. 在对方主责、我次责的交通事故中，修车费用应如何计算？ 15. 对方主责我次责时，修理费用该如何分摊？ 16. 事故责任划分后，修理费用如何根据责任来计算？ 17. 在交通事故中，如何计算对方主责我次责时的修理费用？ 18. 交通事故中，修车费按照什么比例分担，责任为对方主责我次责？ 19. 事故中如果责任是对方主责我次责，修理费如何计算？ 20. 双方责任分配后，修车费用如何处理？
请问，父亲生前欠下债务要还吗,你继承遗产的话，有可能需要,1. 父亲去世后，他生前的债务需要偿还吗？ 2. 父亲留下的债务，我作为子女需要负责还清吗？ 3. 父亲去世了，遗留下来的债务应该由谁承担？ 4. 父亲生前的欠款死后需要继续支付吗？ 5. 父亲的债务是否会传承给我们子女？ 6. 如果父亲去世了，生前的债务还需要清偿吗？ 7. 父亲的欠款我是否有法律责任偿还？ 8. 父亲生前欠下的钱，是否会影响到我们家人的财产？ 9. 如果父亲欠债去世，债务该由谁承担？ 10. 父亲过世后，债权人是否有权要求我们子女偿还债务？ 11. 父亲生前欠债，去世后子女是否需要继承偿还？ 12. 父亲去世后，我们是否有义务偿还他留下的债务？ 13. 父亲欠下的债务如果未还清，应该如何处理？ 14. 父亲的债务去世后如何清偿？ 15. 父亲的债务在他去世后还能继续追讨吗？ 16. 父亲生前的负债去世后我们是否需要承担责任？ 17. 父亲过世后，债务是否会由遗产来偿还？ 18. 父亲的债务需要由继承人来支付吗？ 19. 如果父亲留下债务，子女是否需要为其承担责任？ 20. 父亲去世后，他的债务会对我们产生影响吗？
公司拖欠工资打什么电话投诉才可以,如经劳动者催告，单位仍拒绝支付加班工资的，可向当地劳动监察部门申诉、控告（电话12###），也可以申请劳动仲裁。,1. 我可以拨打哪个电话投诉公司拖欠工资的问题？ 2. 如果公司拖欠工资，应该向哪个部门举报？ 3. 遇到公司拖欠工资时，应该联系哪个电话进行投诉？ 4. 公司没有按时发工资，我应该联系哪个电话进行投诉？ 5. 拖欠工资时，可以拨打什么电话进行投诉处理？ 6. 我该如何向相关部门投诉公司拖欠工资？ 7. 如果工资被拖欠，应该向哪个机构进行举报？ 8. 该拨打什么电话来反映公司拖欠工资的情况？ 9. 遇到公司拖欠工资时，可以打什么电话求助？ 10. 拖欠工资问题该向哪个电话投诉？ 11. 哪个热线电话可以帮助解决公司拖欠工资的问题？ 12. 拖欠工资的情况应该拨打什么电话进行投诉？ 13. 公司不发工资，我该向哪个部门投诉？ 14. 拖欠工资投诉应该联系哪个电话？ 15. 公司拖欠工资，应该找哪个电话进行举报？ 16. 如果公司未按时支付工资，投诉电话是什么？ 17. 我该打哪个电话反映公司拖欠工资的问题？ 18. 如果遭遇拖欠工资，可以拨打哪个电话投诉？ 19. 拖欠工资问题可以拨打哪个投诉电话？ 20. 有关公司拖欠工资，应该联系哪个部门的电话进行投诉？
